station_code,station_name_tw,station_name_en,zipcode,address
103a,北屯總站,Beitun Main Station,406015,台中市北屯區敦富東街100號
103,舊社,Jiushe,406015,台中市北屯區松竹路一段1250號
104,松竹,Songzhu,406024,台中市北屯區北屯路458號
105,四維國小,Sihwei Elementary School,406019,台中市北屯區文心路四段898號
106,文心崇德,Wenxin Chongde,406019,台中市北屯區文心路四段538號
107,文心中清,Wenxin Zhongqing,404,台中市北區文心路三段700號
108,文華高中,Wenhua Senior High School,407041,台中市西屯區文心路三段199號
109,文心櫻花,Wenxin Yinghua,407054,台中市西屯區文心路三段107之28號
110,市政府,Taichung City Hall,407059,台中市西屯區文心路二段688號
111,文心大業,Wenxin Daye,408034,台中市南屯區文心路一段519號
112,文心森林公園,Wenxin Forest Park,408030,台中市南屯區文心路一段259號
113,南屯,Nantun,408028,台中市南屯區五權西路二段328號
114,豐樂公園,Feng-le Park,408025,台中市南屯區文心南路168號
115,大慶,Daqing,402028,台中市南區建國北路一段11號
116,九張犁,Jiuzhangli,414007,台中市烏日區建國路915號
117,九德,Jiude,414007,台中市烏日區建國路639號
118,烏日,Wuri,414007,台中市烏日區建國路295號
119,高鐵臺中站,HSR Taichung Station,414010,台中市烏日區高鐵東一路28號
